Geography,variable,population
British Columbia / Colombie-Britannique ( 26.1%),Total population in private households by citizenship,4324455
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens,3975535
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens aged under 18,794255
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens aged 18 and over,3181280
British Columbia / Colombie-Britannique ( 26.1%),Not Canadian citizens,348920
British Columbia / Colombie-Britannique ( 26.1%),Males in private households by citizenship,2125625
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens_1,1963890
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens aged under 18_1,411590
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens aged 18 and over_1,1552300
British Columbia / Colombie-Britannique ( 26.1%),Not Canadian citizens_1,161735
British Columbia / Colombie-Britannique ( 26.1%),Females in private households by citizenship,2198835
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens_2,2011645
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens aged under 18_2,382665
British Columbia / Colombie-Britannique ( 26.1%),Canadian citizens aged 18 and over_2,1628975
British Columbia / Colombie-Britannique ( 26.1%),Not Canadian citizens_2,187190
British Columbia / Colombie-Britannique ( 26.1%),Total population in private households by immigrant status and period of immigration,4324460
British Columbia / Colombie-Britannique ( 26.1%),Non-immigrants,3067585
British Columbia / Colombie-Britannique ( 26.1%),Immigrants,1191875
British Columbia / Colombie-Britannique ( 26.1%),Before 1971,223220
British Columbia / Colombie-Britannique ( 26.1%),1971 to 1980,161335
British Columbia / Colombie-Britannique ( 26.1%),1981 to 1990,156450
British Columbia / Colombie-Britannique ( 26.1%),1991 to 2000,305650
British Columbia / Colombie-Britannique ( 26.1%),2001 to 2011,345220
British Columbia / Colombie-Britannique ( 26.1%),2001 to 2005,160105
British Columbia / Colombie-Britannique ( 26.1%),2006 to 2011,185115
British Columbia / Colombie-Britannique ( 26.1%),Non-permanent residents,64990
British Columbia / Colombie-Britannique ( 26.1%),Males in private households by immigrant status and period of immigration,2125625
British Columbia / Colombie-Britannique ( 26.1%),Non-immigrants_1,1533255
British Columbia / Colombie-Britannique ( 26.1%),Immigrants_1,561485
British Columbia / Colombie-Britannique ( 26.1%),Before 1971_1,109505
British Columbia / Colombie-Britannique ( 26.1%),1971 to 1980_1,76865
British Columbia / Colombie-Britannique ( 26.1%),1981 to 1990_1,72630
British Columbia / Colombie-Britannique ( 26.1%),1991 to 2000_1,140980
British Columbia / Colombie-Britannique ( 26.1%),2001 to 2011_1,161510
British Columbia / Colombie-Britannique ( 26.1%),2001 to 2005_1,74395
British Columbia / Colombie-Britannique ( 26.1%),2006 to 2011_1,87110
British Columbia / Colombie-Britannique ( 26.1%),Non-permanent residents_1,30880
British Columbia / Colombie-Britannique ( 26.1%),Females in private households by immigrant status and period of immigration,2198835
British Columbia / Colombie-Britannique ( 26.1%),Non-immigrants_2,1534330
